Tag Number,EID Number,Species,Breed,Sex,Date of Birth,Status,Weight (kg),Horn Status,Name,Notes,Purchase Price,Sold Price,Sire Tag,Dam Tag
C-1001,982000438160082,Cattle,Nguni,Male,2024-06-13,Active,762,Horned,Animal_1,Healthy specimen,14331,,,
C-1002,982000934129196,Cattle,Hereford,Male,2024-01-29,Active,284,Horned,Animal_2,Healthy specimen,10643,,,
C-1003,982000961962192,Cattle,Boran,Male,2024-05-06,Active,872,Polled,Animal_3,Healthy specimen,21928,,C-1002,
C-1004,982000445795892,Cattle,Hereford,Male,2022-10-07,Active,213,Polled,Animal_4,Healthy specimen,15472,,,
C-1005,982000944940845,Cattle,Simmentaler,Male,2023-11-08,Active,375,Horned,Animal_5,Healthy specimen,22473,,,
C-1006,982000682540165,Cattle,Afrikaner,Female,2023-02-08,Active,253,Horned,Animal_6,Healthy specimen,15517,,,
C-1007,982000466031891,Cattle,Angus,Female,2024-09-29,Active,342,Horned,Animal_7,Healthy specimen,16176,,C-1002,C-1007
C-1008,982000252869714,Cattle,Brahman,Female,2023-08-01,Active,780,Polled,Animal_8,Healthy specimen,21039,,,
C-1009,982000618231314,Cattle,Nguni,Female,2025-05-24,Active,479,Polled,Animal_9,Healthy specimen,18552,,C-1005,C-1006
C-1010,982000494392284,Cattle,Angus,Female,2024-10-17,Active,672,Scurred,Animal_10,Healthy specimen,19998,,C-1005,
C-1011,982000232681327,Cattle,Brahman,Female,2025-11-07,Active,463,Scurred,Animal_11,Healthy specimen,21217,,C-1005,C-1006
C-1012,982000551687722,Cattle,Angus,Female,2022-04-10,Active,626,Polled,Animal_12,Healthy specimen,11889,,,
C-1013,982000902565680,Cattle,Bonsmara,Female,2023-04-19,Active,788,Scurred,Animal_13,Healthy specimen,10755,,,
C-1014,982000962400813,Cattle,Angus,Female,2025-01-05,Active,695,Scurred,Animal_14,Healthy specimen,14078,,C-1002,
C-1015,982000318212203,Cattle,Nguni,Female,2024-06-21,Active,395,Horned,Animal_15,Healthy specimen,9309,,,
C-1016,982000767147660,Cattle,Angus,Female,2023-04-09,Active,432,Scurred,Animal_16,Healthy specimen,19313,,,
C-1017,982000838133780,Cattle,Brahman,Female,2022-08-25,Active,286,Polled,Animal_17,Healthy specimen,11615,,,
C-1018,982000698828786,Cattle,Afrikaner,Female,2024-09-19,Active,152,Horned,Animal_18,Healthy specimen,13211,,C-1004,C-1006
C-1019,982000357578348,Cattle,Simmentaler,Female,2026-02-14,Active,335,Scurred,Animal_19,Healthy specimen,9541,,C-1002,C-1012
C-1020,982000318123575,Cattle,Brahman,Female,2024-04-22,Active,316,Scurred,Animal_20,Healthy specimen,19894,,C-1002,C-1007
C-1021,982000876225603,Cattle,Bonsmara,Female,2024-10-25,Active,703,Polled,Animal_21,Healthy specimen,18782,,C-1002,C-1007
